country,state,city,station,latitude,longitude
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.204880,79.097889
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.204880,79.097889
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.204880,79.097889
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.514960
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158
India,Bihar,Patna,"Muradpur, Patna - BSPCB",25.619651,85.147382
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.03280,85.41948
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.03280,85.41948
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.892357,86.590325
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.892357,86.590325
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.735567,76.775714
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.735567,76.775714
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.751462,76.762879
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.751462,76.762879
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.751462,76.762879
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637
